Starting model=transformer epochs=10 batch=2 on host pax047
resume=<auto> run_dir=<auto>
CUDA_VISIBLE_DEVICES=0
Sat Apr 25 07:38:50 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 575.57.08              Driver Version: 575.57.08      CUDA Version: 12.9     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA H200 NVL                On  |   00000000:15:00.0 Off |                    0 |
| N/A   48C    P0             76W /  450W |       0MiB / 143771MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
torch.cuda.is_available = True
torch.cuda.device_count = 1
torch.cuda.current_device = 0
torch.cuda.get_device_name(0) = NVIDIA H200 NVL
--- Starting Training on cuda ---
Populating dataset normalization statistics...
Stats loaded. Example Zone 0 (ME) - Mean: 1314.04, Std: 215.34
Resuming from checkpoint: /cluster/home/supadh03/cs137/assignment3/evaluation/subhanga-additions/checkpoints/v2/transformer/runs/job-483062/latest.pt (next epoch 3)
  Epoch 3/10 [   10/11751] │ batch_loss=4349.7266 │ grad_norm=88044.1094
  Epoch 3/10 [   20/11751] │ batch_loss=6153.6582 │ grad_norm=162635.2969
  Epoch 3/10 [   30/11751] │ batch_loss=10417.3223 │ grad_norm=287578.6562
  Epoch 3/10 [   40/11751] │ batch_loss=4329.3242 │ grad_norm=48184.8750
  Epoch 3/10 [   50/11751] │ batch_loss=10708.2520 │ grad_norm=179592.4062
  Epoch 3/10 [   60/11751] │ batch_loss=3467.0537 │ grad_norm=59401.0312
  Epoch 3/10 [   70/11751] │ batch_loss=15517.7754 │ grad_norm=295372.8438
  Epoch 3/10 [   80/11751] │ batch_loss=3184.0566 │ grad_norm=79074.2812
  Epoch 3/10 [   90/11751] │ batch_loss=6083.5107 │ grad_norm=120995.1016
  Epoch 3/10 [  100/11751] │ batch_loss=6124.1475 │ grad_norm=106304.2422
  Epoch 3/10 [  110/11751] │ batch_loss=5176.5361 │ grad_norm=94436.9141
  Epoch 3/10 [  120/11751] │ batch_loss=11210.7529 │ grad_norm=194135.1094
  Epoch 3/10 [  130/11751] │ batch_loss=3027.0427 │ grad_norm=46836.2617
  Epoch 3/10 [  140/11751] │ batch_loss=3564.9272 │ grad_norm=54461.4727
  Epoch 3/10 [  150/11751] │ batch_loss=6465.2842 │ grad_norm=161726.2031
  Epoch 3/10 [  160/11751] │ batch_loss=8299.5635 │ grad_norm=272176.3125
  Epoch 3/10 [  170/11751] │ batch_loss=5218.9639 │ grad_norm=107309.4219
  Epoch 3/10 [  180/11751] │ batch_loss=17046.2266 │ grad_norm=330577.1562
  Epoch 3/10 [  190/11751] │ batch_loss=7469.1465 │ grad_norm=151513.4688
  Epoch 3/10 [  200/11751] │ batch_loss=4654.6895 │ grad_norm=114446.9531
  Epoch 3/10 [  210/11751] │ batch_loss=5197.2573 │ grad_norm=160658.6562
  Epoch 3/10 [  220/11751] │ batch_loss=28645.1094 │ grad_norm=360325.0000
  Epoch 3/10 [  230/11751] │ batch_loss=2102.2124 │ grad_norm=33085.9883
  Epoch 3/10 [  240/11751] │ batch_loss=8926.5352 │ grad_norm=157914.7031
  Epoch 3/10 [  250/11751] │ batch_loss=7686.2412 │ grad_norm=91742.7578
  Epoch 3/10 [  260/11751] │ batch_loss=14020.8535 │ grad_norm=304738.1875
  Epoch 3/10 [  270/11751] │ batch_loss=13844.9453 │ grad_norm=268149.5000
  Epoch 3/10 [  280/11751] │ batch_loss=4058.6121 │ grad_norm=68980.9844
  Epoch 3/10 [  290/11751] │ batch_loss=32480.1719 │ grad_norm=627323.6875
  Epoch 3/10 [  300/11751] │ batch_loss=25328.1055 │ grad_norm=573201.5625
  Epoch 3/10 [  310/11751] │ batch_loss=38700.9453 │ grad_norm=619574.3750
  Epoch 3/10 [  790/11751] │ batch_loss=10673.3174 │ grad_norm=270520.4375
  Epoch 3/10 [  800/11751] │ batch_loss=3372.2954 │ grad_norm=72068.1953
  Epoch 3/10 [  810/11751] │ batch_loss=2941.1042 │ grad_norm=49633.5938
  Epoch 3/10 [  820/11751] │ batch_loss=6438.1455 │ grad_norm=147234.9062
  Epoch 3/10 [  830/11751] │ batch_loss=8616.4639 │ grad_norm=142864.3125
  Epoch 3/10 [  840/11751] │ batch_loss=13888.1709 │ grad_norm=224209.1250
  Epoch 3/10 [  850/11751] │ batch_loss=11859.8906 │ grad_norm=367400.6250
  Epoch 3/10 [  860/11751] │ batch_loss=7154.9170 │ grad_norm=150955.9375
  Epoch 3/10 [  870/11751] │ batch_loss=6639.6484 │ grad_norm=120655.8516
  Epoch 3/10 [  880/11751] │ batch_loss=3206.8354 │ grad_norm=79976.2656
  Epoch 3/10 [  890/11751] │ batch_loss=16719.6855 │ grad_norm=513239.6250
  Epoch 3/10 [  900/11751] │ batch_loss=23005.1797 │ grad_norm=486164.7812
  Epoch 3/10 [  910/11751] │ batch_loss=4282.0254 │ grad_norm=76556.2656
  Epoch 3/10 [  920/11751] │ batch_loss=6518.8203 │ grad_norm=137003.2812
  Epoch 3/10 [  930/11751] │ batch_loss=5321.4004 │ grad_norm=72815.3828
  Epoch 3/10 [  940/11751] │ batch_loss=27453.1719 │ grad_norm=233073.9219
  Epoch 3/10 [  950/11751] │ batch_loss=3032.5701 │ grad_norm=62730.8945
  Epoch 3/10 [  960/11751] │ batch_loss=3006.2439 │ grad_norm=54413.8281
  Epoch 3/10 [  970/11751] │ batch_loss=4995.1636 │ grad_norm=116547.1562
  Epoch 3/10 [  980/11751] │ batch_loss=6128.1577 │ grad_norm=132611.7188
  Epoch 3/10 [  990/11751] │ batch_loss=3741.2134 │ grad_norm=117767.8750
  Epoch 3/10 [ 1000/11751] │ batch_loss=9936.9102 │ grad_norm=361264.9375
  Epoch 3/10 [ 1010/11751] │ batch_loss=6736.7061 │ grad_norm=143382.7812
  Epoch 3/10 [ 1020/11751] │ batch_loss=13274.1865 │ grad_norm=228510.0938
  Epoch 3/10 [ 1030/11751] │ batch_loss=7321.1367 │ grad_norm=106470.5469
  Epoch 3/10 [ 1040/11751] │ batch_loss=16588.5605 │ grad_norm=424547.2812
  Epoch 3/10 [ 1050/11751] │ batch_loss=3214.6189 │ grad_norm=66941.8750
  Epoch 3/10 [ 1060/11751] │ batch_loss=6044.2363 │ grad_norm=121242.6641
  Epoch 3/10 [ 1070/11751] │ batch_loss=9005.8730 │ grad_norm=116933.3828
  Epoch 3/10 [ 1080/11751] │ batch_loss=2703.5474 │ grad_norm=49359.8398
  Epoch 3/10 [ 1090/11751] │ batch_loss=6481.6035 │ grad_norm=116612.8750
  Epoch 3/10 [ 1100/11751] │ batch_loss=3251.2632 │ grad_norm=51188.5781
  Epoch 3/10 [ 1110/11751] │ batch_loss=4841.1191 │ grad_norm=96856.6250
  Epoch 3/10 [ 1120/11751] │ batch_loss=4330.0225 │ grad_norm=92253.1875
  Epoch 3/10 [ 1130/11751] │ batch_loss=30291.0156 │ grad_norm=489469.0938
  Epoch 3/10 [ 1140/11751] │ batch_loss=8216.8086 │ grad_norm=75085.5469
  Epoch 3/10 [ 1150/11751] │ batch_loss=2571.5325 │ grad_norm=45501.2969
  Epoch 3/10 [ 1160/11751] │ batch_loss=2221.5735 │ grad_norm=49243.8203
  Epoch 3/10 [ 1170/11751] │ batch_loss=8376.2539 │ grad_norm=112556.3672
  Epoch 3/10 [ 1180/11751] │ batch_loss=5201.2832 │ grad_norm=65790.7656
  Epoch 3/10 [ 1190/11751] │ batch_loss=5172.2754 │ grad_norm=92842.3906
  Epoch 3/10 [ 1200/11751] │ batch_loss=32968.4375 │ grad_norm=534147.8125
  Epoch 3/10 [ 1210/11751] │ batch_loss=4155.4766 │ grad_norm=80028.6328
  Epoch 3/10 [ 1220/11751] │ batch_loss=6514.3398 │ grad_norm=171572.8125
  Epoch 3/10 [ 1230/11751] │ batch_loss=9460.0684 │ grad_norm=148519.5000
  Epoch 3/10 [ 1240/11751] │ batch_loss=6257.5894 │ grad_norm=115104.4375
  Epoch 3/10 [ 1250/11751] │ batch_loss=4619.4697 │ grad_norm=108067.3984
  Epoch 3/10 [ 1260/11751] │ batch_loss=15669.2217 │ grad_norm=432298.9375
  Epoch 3/10 [ 1270/11751] │ batch_loss=7427.9961 │ grad_norm=117152.3047
  Epoch 3/10 [ 1280/11751] │ batch_loss=39345.4844 │ grad_norm=327044.1875
  Epoch 3/10 [ 1290/11751] │ batch_loss=2027.9812 │ grad_norm=64618.9688
  Epoch 3/10 [ 1300/11751] │ batch_loss=1977.4646 │ grad_norm=34661.9883
  Epoch 3/10 [ 1310/11751] │ batch_loss=8151.5952 │ grad_norm=135853.8281
  Epoch 3/10 [ 1320/11751] │ batch_loss=20094.9688 │ grad_norm=283967.0625
  Epoch 3/10 [ 1330/11751] │ batch_loss=3721.1619 │ grad_norm=77141.7109
  Epoch 3/10 [ 1340/11751] │ batch_loss=2626.9285 │ grad_norm=41261.5312
  Epoch 3/10 [ 1350/11751] │ batch_loss=5528.0483 │ grad_norm=106743.2266
  Epoch 3/10 [ 1360/11751] │ batch_loss=8223.0039 │ grad_norm=181454.9219
  Epoch 3/10 [ 1370/11751] │ batch_loss=4807.2822 │ grad_norm=91340.2500
  Epoch 3/10 [ 1380/11751] │ batch_loss=7488.7671 │ grad_norm=127768.7344
  Epoch 3/10 [ 1390/11751] │ batch_loss=7026.3760 │ grad_norm=134295.6250
  Epoch 3/10 [ 1400/11751] │ batch_loss=2008.6667 │ grad_norm=38038.5703
  Epoch 3/10 [ 1410/11751] │ batch_loss=6216.5459 │ grad_norm=225158.4688
  Epoch 3/10 [ 1420/11751] │ batch_loss=53603.0742 │ grad_norm=714617.9375
  Epoch 3/10 [ 1430/11751] │ batch_loss=2354.0366 │ grad_norm=51158.5586
  Epoch 3/10 [ 1440/11751] │ batch_loss=10482.6035 │ grad_norm=207048.8281
  Epoch 3/10 [ 1450/11751] │ batch_loss=3982.1953 │ grad_norm=91297.5469
  Epoch 3/10 [ 1460/11751] │ batch_loss=10551.2871 │ grad_norm=316297.8750
  Epoch 3/10 [ 1470/11751] │ batch_loss=24281.4609 │ grad_norm=324504.6562
  Epoch 3/10 [ 1480/11751] │ batch_loss=8114.0771 │ grad_norm=116464.2422
  Epoch 3/10 [ 1490/11751] │ batch_loss=3475.6357 │ grad_norm=84603.7578
  Epoch 3/10 [ 1500/11751] │ batch_loss=16851.1523 │ grad_norm=190141.7656
  Epoch 3/10 [ 1510/11751] │ batch_loss=5048.9541 │ grad_norm=103614.3828
  Epoch 3/10 [ 1520/11751] │ batch_loss=4433.7051 │ grad_norm=80095.4375
  Epoch 3/10 [ 1530/11751] │ batch_loss=15829.6279 │ grad_norm=382130.7812
  Epoch 3/10 [ 1540/11751] │ batch_loss=4362.6909 │ grad_norm=105203.8750
  Epoch 3/10 [ 1550/11751] │ batch_loss=8025.6055 │ grad_norm=132065.0625
  Epoch 3/10 [ 1560/11751] │ batch_loss=5912.0820 │ grad_norm=111027.1719
  Epoch 3/10 [ 1570/11751] │ batch_loss=6197.7979 │ grad_norm=147694.2500
  Epoch 3/10 [ 1580/11751] │ batch_loss=3050.8455 │ grad_norm=76098.9375
  Epoch 3/10 [ 1590/11751] │ batch_loss=2086.1235 │ grad_norm=28116.1035
  Epoch 3/10 [ 1600/11751] │ batch_loss=9900.1777 │ grad_norm=353474.9688
  Epoch 3/10 [ 1610/11751] │ batch_loss=5123.1748 │ grad_norm=120766.5859
  Epoch 3/10 [ 1620/11751] │ batch_loss=6886.7324 │ grad_norm=118947.0234
  Epoch 3/10 [ 1630/11751] │ batch_loss=10043.4639 │ grad_norm=252488.4219
  Epoch 3/10 [ 1640/11751] │ batch_loss=10373.0742 │ grad_norm=133743.1875
  Epoch 3/10 [ 1650/11751] │ batch_loss=4244.5239 │ grad_norm=91713.5469
  Epoch 3/10 [ 1660/11751] │ batch_loss=1407.9592 │ grad_norm=26034.7832
  Epoch 3/10 [ 1670/11751] │ batch_loss=3757.9473 │ grad_norm=74275.9609
  Epoch 3/10 [ 1680/11751] │ batch_loss=28541.9297 │ grad_norm=527919.4375
  Epoch 3/10 [ 1690/11751] │ batch_loss=20619.9961 │ grad_norm=400251.9375
  Epoch 3/10 [ 1700/11751] │ batch_loss=11661.9238 │ grad_norm=174204.5938
  Epoch 3/10 [ 1710/11751] │ batch_loss=5595.2197 │ grad_norm=89214.5234
  Epoch 3/10 [ 1720/11751] │ batch_loss=4198.7754 │ grad_norm=131503.2969
  Epoch 3/10 [ 1730/11751] │ batch_loss=4596.0000 │ grad_norm=75721.1797
  Epoch 3/10 [ 1740/11751] │ batch_loss=4764.7544 │ grad_norm=112958.7109
  Epoch 3/10 [ 1750/11751] │ batch_loss=10395.3477 │ grad_norm=140554.0781
  Epoch 3/10 [ 1760/11751] │ batch_loss=5348.8726 │ grad_norm=96347.4688
  Epoch 3/10 [ 1770/11751] │ batch_loss=2069.3604 │ grad_norm=32518.7988
  Epoch 3/10 [ 1780/11751] │ batch_loss=3349.4302 │ grad_norm=66971.8047
  Epoch 3/10 [ 1790/11751] │ batch_loss=6942.0557 │ grad_norm=123705.2734
  Epoch 3/10 [ 1800/11751] │ batch_loss=16770.3984 │ grad_norm=329414.0938
  Epoch 3/10 [ 1810/11751] │ batch_loss=2622.5476 │ grad_norm=52923.2305
  Epoch 3/10 [ 1820/11751] │ batch_loss=4416.0356 │ grad_norm=99974.0156
  Epoch 3/10 [ 1830/11751] │ batch_loss=4397.1865 │ grad_norm=93772.2969
  Epoch 3/10 [ 1840/11751] │ batch_loss=3832.0283 │ grad_norm=84220.5547
  Epoch 3/10 [ 1850/11751] │ batch_loss=5665.4248 │ grad_norm=111793.6172
  Epoch 3/10 [ 1860/11751] │ batch_loss=2094.8145 │ grad_norm=37700.3242
  Epoch 3/10 [ 1870/11751] │ batch_loss=8232.9707 │ grad_norm=210621.2031
  Epoch 3/10 [ 1880/11751] │ batch_loss=3624.3696 │ grad_norm=70975.2266
  Epoch 3/10 [ 1890/11751] │ batch_loss=19132.4668 │ grad_norm=373345.4688
  Epoch 3/10 [ 1900/11751] │ batch_loss=29546.0840 │ grad_norm=709503.5625
  Epoch 3/10 [ 1910/11751] │ batch_loss=34707.8008 │ grad_norm=380538.1250
  Epoch 3/10 [ 1920/11751] │ batch_loss=6375.0527 │ grad_norm=78011.2578
  Epoch 3/10 [ 1930/11751] │ batch_loss=4790.6421 │ grad_norm=83212.5938
  Epoch 3/10 [ 1940/11751] │ batch_loss=6601.0068 │ grad_norm=122766.9297
  Epoch 3/10 [ 1950/11751] │ batch_loss=4794.8896 │ grad_norm=126691.7500
  Epoch 3/10 [ 1960/11751] │ batch_loss=13071.1855 │ grad_norm=351492.1250
  Epoch 3/10 [ 1970/11751] │ batch_loss=19967.1797 │ grad_norm=310467.3125
  Epoch 3/10 [ 1980/11751] │ batch_loss=13628.4639 │ grad_norm=254659.9531
  Epoch 3/10 [ 1990/11751] │ batch_loss=6558.5386 │ grad_norm=157034.4844
  Epoch 3/10 [ 2000/11751] │ batch_loss=2588.5833 │ grad_norm=43032.6133
  Epoch 3/10 [ 2010/11751] │ batch_loss=8831.3398 │ grad_norm=211252.1719
  Epoch 3/10 [ 2020/11751] │ batch_loss=10120.8037 │ grad_norm=218347.3906
  Epoch 3/10 [ 2030/11751] │ batch_loss=2775.1765 │ grad_norm=54109.2148
  Epoch 3/10 [ 2040/11751] │ batch_loss=2484.5278 │ grad_norm=50745.5039
  Epoch 3/10 [ 2050/11751] │ batch_loss=18893.8359 │ grad_norm=421570.4688
  Epoch 3/10 [ 2060/11751] │ batch_loss=2071.8621 │ grad_norm=36598.4375
  Epoch 3/10 [ 2070/11751] │ batch_loss=9594.9922 │ grad_norm=200934.5781
  Epoch 3/10 [ 2080/11751] │ batch_loss=4179.7539 │ grad_norm=86175.3750
  Epoch 3/10 [ 2090/11751] │ batch_loss=4211.2402 │ grad_norm=95187.9453
  Epoch 3/10 [ 2100/11751] │ batch_loss=11552.8613 │ grad_norm=239860.0938
  Epoch 3/10 [ 2110/11751] │ batch_loss=9204.3789 │ grad_norm=74669.2891
  Epoch 3/10 [ 2120/11751] │ batch_loss=3038.4814 │ grad_norm=47296.0391
  Epoch 3/10 [ 2130/11751] │ batch_loss=9056.3887 │ grad_norm=246495.8125
  Epoch 3/10 [ 2140/11751] │ batch_loss=3830.0659 │ grad_norm=127214.0469
  Epoch 3/10 [ 2150/11751] │ batch_loss=5838.5918 │ grad_norm=85204.7344
  Epoch 3/10 [ 2160/11751] │ batch_loss=9690.1035 │ grad_norm=183225.9219
  Epoch 3/10 [ 2170/11751] │ batch_loss=3033.9822 │ grad_norm=37195.2617
  Epoch 3/10 [ 2180/11751] │ batch_loss=5997.0894 │ grad_norm=137268.1562
  Epoch 3/10 [ 2190/11751] │ batch_loss=3690.6414 │ grad_norm=87096.1094
  Epoch 3/10 [ 2200/11751] │ batch_loss=11131.7031 │ grad_norm=140621.0469
  Epoch 3/10 [ 2210/11751] │ batch_loss=3201.8027 │ grad_norm=85724.3672
  Epoch 3/10 [ 2220/11751] │ batch_loss=3002.2039 │ grad_norm=48590.9023
  Epoch 3/10 [ 2230/11751] │ batch_loss=3004.7183 │ grad_norm=65172.4453
  Epoch 3/10 [ 2240/11751] │ batch_loss=6050.7295 │ grad_norm=131464.0469
  Epoch 3/10 [ 2250/11751] │ batch_loss=11213.4297 │ grad_norm=225446.9531
  Epoch 3/10 [ 2260/11751] │ batch_loss=25698.4336 │ grad_norm=414021.5625
  Epoch 3/10 [ 2270/11751] │ batch_loss=12218.1953 │ grad_norm=298670.6875
  Epoch 3/10 [ 2280/11751] │ batch_loss=3291.7568 │ grad_norm=75189.4922
  Epoch 3/10 [ 2290/11751] │ batch_loss=5465.0146 │ grad_norm=72920.6562
  Epoch 3/10 [ 2300/11751] │ batch_loss=8589.2607 │ grad_norm=170375.6406
  Epoch 3/10 [ 2310/11751] │ batch_loss=2733.0835 │ grad_norm=81142.4062
  Epoch 3/10 [ 2320/11751] │ batch_loss=16246.0186 │ grad_norm=323872.6562
  Epoch 3/10 [ 2330/11751] │ batch_loss=7449.9375 │ grad_norm=206654.5781
  Epoch 3/10 [ 2340/11751] │ batch_loss=11514.7412 │ grad_norm=174277.0000
  Epoch 3/10 [ 2350/11751] │ batch_loss=3635.0938 │ grad_norm=85719.0156
  Epoch 3/10 [ 2360/11751] │ batch_loss=28791.8965 │ grad_norm=378923.7188
  Epoch 3/10 [ 2370/11751] │ batch_loss=10416.5410 │ grad_norm=261861.8125
  Epoch 3/10 [ 2380/11751] │ batch_loss=12531.2637 │ grad_norm=233405.1250
  Epoch 3/10 [ 2390/11751] │ batch_loss=2390.6577 │ grad_norm=44855.8867
  Epoch 3/10 [ 2400/11751] │ batch_loss=3484.2134 │ grad_norm=55993.0000
